ID,iso_alpha,country,continent,income_group,life_expectancy,mean_years_of_schooling,cemission_per_cap,under_5_mortality_rate,prop_internet,whr_score,population,gni,gni_per_capita,ggei,pop_cat
1,ABW,Aruba,North America,High income,,,,,,,106537,,,,Less than 10 million
2,AFG,Afghanistan,Asia,Low income,61.9824,2.98506999,0.363,58.1,18.4,,40099462,73149074277.0,1824.190915,,Greater than 10 million
3,AGO,Angola,Africa,Lower middle income,61.6434,5.417390823,1.03,72.3,36.0,,34503774,189000000000.0,5465.617791,,Greater than 10 million
4,ALB,Albania,Europe,Upper middle income,76.4626,11.28645502,2.01,8.52,72.2,53.6,2811666,39731962626.0,14131.11039,0.5656770830000001,Greater than 10 million
5,ARE,United Arab Emirates,Asia,High income,78.7104,12.69402981,19.8,7.16,100.0,64.6,9365145,586000000000.0,62573.59181,0.5065169270000001,Greater than 10 million
6,ARG,Argentina,South America,Upper middle income,75.3899,11.14726927,3.53,9.4,85.5,59.0,45808747,959000000000.0,20925.26814,0.484980469,Greater than 10 million
7,ARM,Armenia,Asia,Upper middle income,72.0431,11.33030033,2.59,11.7,76.5,,2790974,36723618867.0,13157.9939,0.468229167,Greater than 10 million
8,AUS,Australia,Oceania,High income,84.5265,12.72681999,13.8,3.5,89.6,71.4,25688079,1260000000000.0,49238.43335,0.6729882810000001,Greater than 10 million
9,AUT,Austria,Europe,High income,81.5797,12.25669003,9.12,3.21,87.5,72.1,8955797,480000000000.0,53618.67138,0.7114257810000001,Greater than 10 million
10,AZE,Azerbaijan,Asia,Upper middle income,69.3658,10.5429697,3.81,20.1,84.6,,10137750,145000000000.0,14256.74456,0.44760416700000005,Greater than 10 million
11,BDI,Burundi,Africa,Low income,61.6627,3.129266883,1.08,55.1,9.4,,12551213,9184810850.0,731.7867086,0.518522135,Greater than 10 million
12,BEL,Belgium,Europe,High income,81.8787,12.37567997,15.4,3.38,91.5,68.4,11592952,606000000000.0,52293.39977,0.692526042,Greater than 10 million
13,BEN,Benin,Africa,Lower middle income,59.821,4.304786445,0.654,88.8,25.8,44.1,12996895,44305972160.0,3408.965923,0.41932942700000003,Greater than 10 million
14,BFA,Burkina Faso,Africa,Low income,59.2696,2.114962259,0.28200000000000003,71.5,22.0,46.4,22100683,46807388280.0,2117.915916,0.400527344,Greater than 10 million
15,BGD,Bangladesh,Asia,Lower middle income,72.3811,7.379059792,0.807,27.7,24.8,52.8,169356251,927000000000.0,5472.104781,0.434798177,Greater than 100 million
16,BGR,Bulgaria,Europe,Upper middle income,71.798,11.41318035,5.23,6.53,70.2,56.0,6877743,159000000000.0,23078.95595,0.603815104,Greater than 10 million
17,BHR,Bahrain,Asia,High income,78.7605,11.04658985,14.8,6.69,99.7,61.7,1463265,57794940419.0,39497.24788,0.39922526,Greater than 10 million
18,BHS,Bahamas,North America,High income,71.5983,12.64192386,6.87,9.62,87.0,,407906,12435497489.0,30486.18429,,Less than 10 million
19,BIH,Bosnia and Herzegovina,Europe,Upper middle income,75.30030000000001,10.53631973,3.59,5.5,73.2,55.2,3270943,49855434031.0,15241.91465,,Greater than 10 million
20,BLR,Belarus,Europe,Upper middle income,72.438,12.14358044,5.99,3.26,85.1,,9340314,176000000000.0,18848.96704,0.506171875,Greater than 10 million
21,BLZ,Belize,North America,Upper middle income,70.4697,8.847599983,1.0,12.4,,,400031,2523835493.0,6309.099778,0.38608724,Less than 10 million
22,BOL,Bolivia,South America,Lower middle income,63.6304,9.827750206,1.83,25.4,59.9,55.6,12079472,97978894835.0,8111.190194,0.46223307300000005,Greater than 10 million
23,BRA,Brazil,South America,Upper middle income,72.7504,8.128813955,2.0,13.5,81.3,61.1,214326223,3080000000000.0,14369.88848,0.542285156,Greater than 100 million
24,BRB,Barbados,North America,High income,77.5714,9.852700596,3.79,11.7,,,281200,3460543089.0,12306.341,,Less than 10 million
25,BRN,Brunei Darussalam,Asia,High income,74.6424,9.18,22.6,11.1,95.0,,445373,28721899694.0,64489.53954,,Less than 10 million
26,BTN,Bhutan,Asia,Lower middle income,71.815,5.170262283,3.34,27.4,53.5,,777486,7337556400.0,9437.541512,,Less than 10 million
27,BWA,Botswana,Africa,Upper middle income,61.1409,10.34,4.7,34.8,64.0,,2588423,41928099934.0,16198.31841,,Greater than 10 million
28,CAF,Central African Republic,Africa,Low income,53.8947,4.334,1.08,110.0,10.4,,5457154,5271930612.0,966.0586107,0.395722656,Greater than 10 million
29,CAN,Canada,North America,High income,82.6565,13.83442722,13.0,4.89,97.0,70.3,38246108,1790000000000.0,46807.98619,0.580325521,Greater than 10 million
30,CHE,Switzerland,Europe,High income,83.9872,13.85966015,12.4,3.91,94.2,75.1,8703405,583000000000.0,66933.00454,0.781289063,Greater than 10 million
31,CHL,Chile,South America,High income,78.9435,10.9349663,4.43,6.86,88.3,61.5,19493184,479000000000.0,24563.24486,0.537447917,Greater than 10 million
32,CHN,China,Asia,Upper middle income,78.2107,7.600118446,7.04,8.09,70.4,57.7,1412360000,24700000000000.0,17504.39969,0.5283854170000001,Greater than 100 million
33,CIV,Cote d'Ivoire,Africa,Lower middle income,58.5983,5.199138977,0.549,77.1,,52.6,27478249,143000000000.0,5217.448516,0.458255208,Greater than 10 million
34,CMR,Cameroon,Africa,Lower middle income,60.3334,6.15131,0.376,72.0,37.8,52.4,27198628,98484393578.0,3620.932408,0.47296224000000003,Greater than 10 million
35,COD,Democratic Republic of the Congo,Africa,Low income,59.193,7.018696516,0.42,84.5,13.6,,95894118,103000000000.0,1076.098781,,Greater than 10 million
36,COG,Congo,Africa,Lower middle income,63.5187,6.166,0.669,47.5,,50.8,5835806,16861298108.0,2889.283521,0.5137044270000001,Greater than 10 million
37,COL,Colombia,South America,Upper middle income,72.8296,8.862859726,2.14,13.5,69.8,57.1,51516562,741000000000.0,14384.35666,0.494707031,Greater than 10 million
38,COM,Comoros,Africa,Lower middle income,63.4174,5.078649,0.517,64.8,,,821625,2581598432.0,3142.064119,0.512799479,Less than 10 million
39,CPV,Cabo Verde,Africa,Lower middle income,74.0518,6.287719287,1.0,18.1,64.5,,587925,3662890452.0,6230.200199,0.521191406,Less than 10 million
40,CRI,Costa Rica,North America,Upper middle income,77.0232,8.804059982,2.2,8.19,80.5,63.4,5153957,103000000000.0,19974.27358,0.644446615,Greater than 10 million
41,CUB,Cuba,North America,Upper middle income,73.6829,12.49773438,3.07,4.82,74.0,,11256372,88687238189.0,7878.847482,,Greater than 10 million
42,CYP,Cyprus,Asia,High income,81.2033,12.44017029,5.48,2.22,90.8,62.6,1244188,47513575794.0,38188.42152,0.612636719,Greater than 10 million
43,CZE,Czech Republic,Europe,High income,77.7283,12.86931038,9.49,3.21,81.3,69.0,10505772,407000000000.0,38745.21386,0.584967448,Greater than 10 million
44,DEU,Germany,Europe,High income,80.6301,14.09096691,9.23,3.24,89.8,73.1,83196078,4540000000000.0,54534.21682,0.673977865,Greater than 10 million
45,DJI,Djibouti,Africa,Lower middle income,62.3049,4.1,0.978,52.9,59.0,,1105557,5555417230.0,5024.993944,0.560351563,Greater than 10 million
46,DNK,Denmark,Europe,High income,81.3753,12.96049023,7.31,3.97,96.5,75.2,5856733,354000000000.0,60364.78595,0.741979167,Greater than 10 million
47,DOM,Dominican Republic,North America,Upper middle income,72.6146,9.306864107,2.86,27.7,76.9,51.7,11117873,200000000000.0,17989.60037,0.541998698,Greater than 10 million
48,DZA,Algeria,Africa,Lower middle income,76.3767,8.069284397,3.79,22.2,62.9,54.4,44177969,477000000000.0,10800.22546,,Greater than 10 million
49,ECU,Ecuador,South America,Upper middle income,73.67,8.817119598,2.32,13.5,64.6,53.5,17797737,184000000000.0,10311.63273,0.5041471350000001,Greater than 10 million
50,EGY,Egypt,Africa,Lower middle income,70.2207,9.573026174,2.25,19.8,71.9,44.7,109262178,1280000000000.0,11731.69056,0.356946615,Greater than 100 million
51,ERI,Eritrea,Africa,Low income,66.5358,4.8872352,0.16,37.8,,,3620312,6258587822.0,1728.742667,,Greater than 10 million
52,ESP,Spain,Europe,High income,83.01,10.60540009,5.35,2.84,93.2,65.0,47415750,1820000000000.0,38353.60164,0.6886263020000001,Greater than 10 million
53,EST,Estonia,Europe,High income,77.1436,13.54843044,9.39,2.4,89.1,64.5,1330932,50639651729.0,38048.26372,0.666334635,Greater than 10 million
54,ETH,Ethiopia,Africa,Low income,64.9748,3.201520681,0.17300000000000001,50.8,24.0,45.5,120283026,284000000000.0,2361.069604,0.56280599,Greater than 100 million
55,FIN,Finland,Europe,High income,82.0381,12.87362003,8.68,1.58,92.2,78.9,5541017,274000000000.0,49452.16672,0.6880403650000001,Greater than 10 million
56,FJI,Fiji,Oceania,Upper middle income,67.114,10.92154799,3.46,24.8,,,924610,9227710308.0,9980.110866,0.546998698,Less than 10 million
57,FRA,France,Europe,High income,82.4988,11.61005974,5.82,3.83,84.8,67.1,67749632,3110000000000.0,45937.05273,0.74360026,Greater than 10 million
58,FSM,Micronesia,Oceania,Lower middle income,70.71,7.804956,0.669,29.3,,,113131,418151854.6,3696.173945,0.43700520800000003,Less than 10 million
59,GAB,Gabon,Africa,Upper middle income,65.821,9.436,3.79,42.4,62.0,48.9,2341179,31294386463.0,13366.93455,0.505846354,Greater than 10 million
60,GBR,United Kingdom,Europe,High income,80.7422,13.4061203,6.93,4.21,94.8,68.0,67326569,3040000000000.0,45224.76564,0.704231771,Greater than 10 million
61,GEO,Georgia,Asia,Upper middle income,71.694,12.82221985,2020.0,9.02,72.5,51.2,3708610,54383681014.0,14664.16825,0.461184896,Greater than 10 million
62,GHA,Ghana,Africa,Lower middle income,63.7954,8.329886695,0.713,44.8,58.0,53.2,32833031,189000000000.0,5744.504017,0.47677734400000005,Greater than 10 million
63,GIN,Guinea,Africa,Low income,58.8922,2.202125952,0.435,94.3,26.0,49.7,13531906,33571132143.0,2480.887182,0.47792317700000003,Greater than 10 million
64,GMB,Gambia,Africa,Low income,62.083,4.637487411,0.325,55.1,36.5,,2639916,5734445768.0,2172.207664,,Greater than 10 million
65,GNB,Guinea-Bissau,Africa,Low income,59.6523,3.583719,0.363,77.1,22.9,,2060721,3932353518.0,1908.24159,0.43158203100000003,Greater than 10 million
66,GNQ,Equatorial Guinea,Africa,Upper middle income,60.5943,5.910863,3.77,81.0,,,1634466,19734476991.0,12073.95993,0.483639323,Greater than 10 million
67,GRC,Greece,Europe,High income,80.1106,11.40853024,5.05,4.31,78.1,57.9,10641221,309000000000.0,29002.48545,0.61734375,Greater than 10 million
68,GRD,Grenada,North America,Upper middle income,74.9362,9.032104,3.59,15.2,56.9,,124610,1680188580.0,13483.5774,0.44444661500000004,Less than 10 million
69,GTM,Guatemala,North America,Upper middle income,69.2368,5.681300163,1.23,24.3,50.0,,17109746,149000000000.0,8723.285317,0.49889974000000004,Greater than 10 million
70,GUY,Guyana,South America,Upper middle income,65.6734,8.617477,3.79,28.7,,,804567,18074321962.0,22464.65734,,Less than 10 million
71,HKG,Hong Kong SAR,Asia,High income,,,10.8,1.97,92.4,53.0,7413100,,,,Greater than 10 million
72,HND,Honduras,North America,Lower middle income,70.1229,7.088479996,0.807,16.6,42.0,,10278345,54454212378.0,5297.955301,0.441777344,Greater than 10 million
73,HRV,Croatia,Europe,High income,77.5804,12.19108434,5.51,4.45,78.3,65.1,3899000,117000000000.0,30132.28814,0.6665625,Greater than 10 million
74,HTI,Haiti,North America,Lower middle income,63.1924,5.554,0.29,61.6,34.5,,11447569,32596961267.0,2847.500746,0.42156901,Greater than 10 million
75,HUN,Hungary,Europe,High income,74.5301,12.24958992,6.24,3.99,84.8,60.4,9709891,318000000000.0,32789.01063,0.556985677,Greater than 10 million
76,IDN,Indonesia,Asia,Lower middle income,67.5703,8.556509972,2.3,23.3,53.7,48.3,273753191,3140000000000.0,11466.06836,0.36315755200000005,Greater than 100 million
77,IND,India,Asia,Lower middle income,67.2398,6.655109195,1.6300000000000001,33.9,43.0,42.2,1407563842,9280000000000.0,6589.980037,0.394114583,Greater than 100 million
78,IRL,Ireland,Europe,High income,81.9976,11.58222303,8.82,3.19,92.0,70.3,5033165,383000000000.0,76168.98443,0.7034049480000001,Greater than 10 million
79,IRN,Iran,Asia,Lower middle income,73.8749,10.63645314,7.54,13.4,84.1,48.6,87923432,1140000000000.0,13000.7117,,Greater than 10 million
80,IRQ,Iraq,Asia,Upper middle income,70.3779,7.905593489,2.15,25.1,,47.9,43533592,434000000000.0,9977.249073,,Greater than 10 million
81,ISL,Iceland,Europe,High income,82.6782,13.76716995,12.0,1.8900000000000001,99.0,75.8,372520,20779929195.0,55782.04981,0.712753906,Less than 10 million
82,ISR,Israel,Asia,High income,82.255,13.3448664,8.42,3.45,90.1,72.0,9364000,389000000000.0,41523.74319,0.5944466150000001,Greater than 10 million
83,ITA,Italy,Europe,High income,82.8502,10.7401104,6.53,2.83,70.5,64.9,59109668,2530000000000.0,42839.51441,0.668945313,Greater than 10 million
84,JAM,Jamaica,North America,Upper middle income,70.5003,9.154628661,2.24,13.8,,54.3,2827695,24981202680.0,8834.47567,,Greater than 10 million
85,JOR,Jordan,Asia,Upper middle income,74.2563,10.44668007,2.67,15.3,,40.9,11148278,111000000000.0,9923.714974,0.459029948,Greater than 10 million
86,JPN,Japan,Asia,High income,84.7839,13.36610034,9.48,2.34,90.2,61.2,125681593,5310000000000.0,42274.29134,0.547089844,Greater than 100 million
87,KAZ,Kazakhstan,Asia,Upper middle income,69.3622,12.34756189,9.77,8.86,85.9,61.7,19000988,455000000000.0,23942.81837,0.49118489600000004,Greater than 10 million
88,KEN,Kenya,Africa,Lower middle income,61.427,6.652,0.518,38.5,29.5,45.5,53005614,237000000000.0,4473.570344,0.5490950520000001,Greater than 10 million
89,KHM,Cambodia,Asia,Lower middle income,69.5835,5.088,2.35,25.9,,43.8,16589023,67661600898.0,4078.697154,0.486451823,Greater than 10 million
90,KWT,Kuwait,Asia,High income,78.6729,7.328022618,22.2,7.42,99.1,,4250114,225000000000.0,52919.76137,0.39666015600000004,Greater than 10 million
91,LBN,Lebanon,Asia,Lower middle income,75.0472,8.718636,3.32,7.32,84.1,26.3,5592631,53274460363.0,9525.831467,0.388808594,Greater than 10 million
92,LBR,Liberia,Africa,Low income,60.7472,5.082,0.247,67.1,25.6,,5193416,6692975140.0,1288.74235,,Greater than 10 million
93,LBY,Libya,Africa,Upper middle income,71.9112,7.599985,3.66,11.2,,,6735277,103000000000.0,15335.712,,Greater than 10 million
94,LKA,Sri Lanka,Asia,Lower middle income,76.3991,10.82730007,1.69,6.97,35.0,47.8,22156000,279000000000.0,12578.22055,0.48020833300000004,Greater than 10 million
95,LSO,Lesotho,Africa,Lower middle income,53.062,6.010184707,0.335,75.7,43.0,,2281454,6160919939.0,2700.435748,,Greater than 10 million
96,LTU,Lithuania,Europe,High income,73.7201,13.49810028,7.2,3.86,83.1,63.9,2800839,106000000000.0,37931.30359,0.668411458,Greater than 10 million
97,LUX,Luxembourg,Europe,High income,82.6287,13.01519217,12.6,2.31,98.8,,640064,54181081355.0,84649.47467,0.69563151,Less than 10 million
98,LVA,Latvia,Europe,High income,73.5786,13.25271988,7.35,3.64,88.9,62.3,1884490,61817366874.0,32803.23423,0.697122396,Greater than 10 million
99,MAC,Macao SAR,Asia,High income,,,,,88.1,,686607,,,,Less than 10 million
100,MAR,Morocco,Africa,Lower middle income,74.0419,5.916,1.8,20.6,84.1,48.0,37076584,271000000000.0,7302.81917,0.39295572900000003,Greater than 10 million
